event_name,referee,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url,event_date,event_url,f_1_name,f_2_name,f_1_url,f_2_url,f_1_fighter_f_name,f_1_fighter_l_name,f_1_fighter_height_cm,f_1_fighter_weight_lbs,f_1_fighter_reach_cm,f_1_fighter_stance,f_1_fighter_dob,f_1_fighter_w,f_1_fighter_l,f_1_fighter_d,f_1_fighter_nc_dq,f_1_fighter_SlpM,f_1_fighter_Str_Acc,f_1_fighter_SApM,f_1_fighter_Str_Def,f_1_fighter_TD_Avg,f_1_fighter_TD_Acc,f_1_fighter_TD_Def,f_1_fighter_Sub_Avg,f_1_fighter_url,f_2_fighter_f_name,f_2_fighter_l_name,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_fighter_SlpM,f_2_fighter_Str_Acc,f_2_fighter_SApM,f_2_fighter_Str_Def,f_2_fighter_TD_Avg,f_2_fighter_TD_Acc,f_2_fighter_TD_Def,f_2_fighter_Sub_Avg,f_2_fighter_url,f_1_ranking,f_2_ranking
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Salahdine Parnasse,5.0,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,2:35,http://ufcstats.com/fight-details/bba8c0ab999b9e6f,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Salahdine Parnasse,Dan Hooker,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Salahdine,Parnasse,177.8,155.0,180.34,Southpaw,1997-12-04,24,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,Dan,Hooker,182.88,155.0,190.5,Switch,1990-02-13,24,15,0,0.0,4.82,0.48,4.94,0.49,0.68,0.33,0.77,0.6,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Axel Sola,3.0,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,1:40,http://ufcstats.com/fight-details/55f698e5c4ed2c47,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Axel Sola,Fares Ziam,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,http://ufcstats.com/fighter-details/1e4f273069fb9e85,Axel,Sola,182.88,155.0,187.96,Southpaw,1997-09-17,13,1,1,0.0,4.5,0.5,4.53,0.61,1.89,0.36,0.66,0.5,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,Fares,Ziam,185.42,155.0,190.5,Orthodox,1997-03-21,18,6,0,0.0,2.68,0.52,1.58,0.63,1.86,0.42,0.7,0.5,http://ufcstats.com/fighter-details/1e4f273069fb9e85,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Michael Page,3.0,False,Middleweight,M,Decision - Unanimous,Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,3,5:00,http://ufcstats.com/fight-details/c23197c7e4f2fd9d,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Michael Page,Nursulton Ruziboev,http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Michael,Page,190.5,185.0,200.66,Switch,1987-04-07,26,3,0,0.0,2.28,0.58,1.51,0.62,0.19,0.16,0.7,0.0,http://ufcstats.com/fighter-details/a67d071163962af8,Nursulton,Ruziboev,195.58,185.0,193.04,Orthodox,1993-11-19,37,10,2,2.0,2.38,0.46,2.68,0.49,1.36,0.8,0.33,0.3,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Daniil Donchenko,3.0,False,Welterweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. David Lethaby 27 - 30. Eric Colon 28 - 29.,3,5:00,http://ufcstats.com/fight-details/8300a095a4908ab1,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Daniil Donchenko,Punahele Soriano,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/64facb6cc564262d,Daniil,Donchenko,180.34,170.0,180.34,Orthodox,2001-08-04,16,2,0,0.0,8.07,0.62,2.8,0.7,0.58,0.33,0.75,0.0,http://ufcstats.com/fighter-details/70dd69b6a703257e,Punahele,Soriano,180.34,170.0,182.88,Southpaw,1992-11-22,13,5,0,0.0,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1,http://ufcstats.com/fighter-details/64facb6cc564262d,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Kurtis Campbell,3.0,False,Featherweight,M,Submission,Rear Naked Choke,3,3:07,http://ufcstats.com/fight-details/cbf9063d23513661,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Kurtis Campbell,Trevor Peek,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,Kurtis,Campbell,175.26,145.0,182.88,Switch,2002-07-29,9,1,0,0.0,3.5,0.48,2.63,0.51,8.76,0.4,0.5,0.0,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,Trevor,Peek,175.26,145.0,177.8,Switch,1995-01-09,9,4,0,1.0,4.39,0.53,3.88,0.43,1.45,0.5,0.52,0.0,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Losene Keita,3.0,False,Featherweight,M,KO/TKO,Punch to Head At Distance,1,2:54,http://ufcstats.com/fight-details/b90b099c1f47bb93,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Losene Keita,Muhammad Naimov,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Losene,Keita,170.18,145.0,182.88,Orthodox,1997-12-30,17,2,0,0.0,3.47,0.43,4.47,0.62,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,Muhammad,Naimov,175.26,145.0,177.8,Orthodox,1994-08-07,13,5,0,0.0,2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Felipe Lima,3.0,False,Featherweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. Clemens Werner 27 - 30. Anders Ohlsson 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ad17c34e0cc7d702,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Felipe Lima,Morgan Charriere,http://ufcstats.com/fighter-details/9256f591b30c073e,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Felipe,Lima,167.64,145.0,172.72,Orthodox,1998-05-07,15,2,0,0.0,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7,http://ufcstats.com/fighter-details/9256f591b30c073e,Morgan,Charriere,172.72,145.0,175.26,Orthodox,1995-10-26,21,13,1,0.0,4.02,0.5,4.51,0.53,2.06,0.46,0.83,0.3,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Mario Pinto,3.0,False,Heavyweight,M,KO/TKO,Punches to Head On Ground,2,0:55,http://ufcstats.com/fight-details/b1c6ea7d7d413bd5,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Mario Pinto,Ryan Spann,http://ufcstats.com/fighter-details/39d309957c5c210d,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Mario,Pinto,195.58,265.0,200.66,Orthodox,1998-03-14,13,0,0,0.0,2.85,0.69,1.93,0.58,2.38,0.26,1.0,0.9,http://ufcstats.com/fighter-details/39d309957c5c210d,Ryan,Spann,195.58,264.0,200.66,Orthodox,1991-08-24,24,12,0,0.0,3.11,0.39,3.92,0.43,1.21,0.34,0.59,1.7,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Modestas Bukauskas,3.0,False,Light Heavyweight,M,KO/TKO,Knee to Head In Clinch,2,3:57,http://ufcstats.com/fight-details/94d411112ebe8fad,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Modestas Bukauskas,Oumar Sy,http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fighter-details/46e2011d92463b7e,Modestas,Bukauskas,190.5,205.0,193.04,Switch,1994-02-10,21,7,0,0.0,3.14,0.43,3.86,0.5,0.23,0.66,0.82,0.1,http://ufcstats.com/fighter-details/476fe566d2df676e,Oumar,Sy,193.04,205.0,210.82,Orthodox,1995-11-21,12,3,0,0.0,3.41,0.48,1.87,0.66,2.45,0.35,0.66,0.3,http://ufcstats.com/fighter-details/46e2011d92463b7e,Unranked,Unranked
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Pavel Andrusca,3.0,False,Featherweight,M,Decision - Unanimous,Ludovic Dandine 27 - 30. Clemens Werner 27 - 30. Ben Cartlidge 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ac3af13ffe39b1d8,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Pavel Andrusca,Nathaniel Wood,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,http://ufcstats.com/fighter-details/329e403448756217,Pavel,Andrusca,170.18,145.0,167.64,Orthodox,2002-05-08,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,Nathaniel,Wood,167.64,145.0,175.26,Orthodox,1993-05-08,23,7,0,0.0,5.64,0.51,4.25,0.54,1.35,0.48,0.73,0.5,http://ufcstats.com/fighter-details/329e403448756217,Unranked,Unranked
