event_name,referee,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fight_url,event_date,event_url,f_1_name,f_2_name,f_1_url,f_2_url,f_1_fighter_f_name,f_1_fighter_l_name,f_1_fighter_height_cm,f_1_fighter_weight_lbs,f_1_fighter_reach_cm,f_1_fighter_stance,f_1_fighter_dob,f_1_fighter_w,f_1_fighter_l,f_1_fighter_d,f_1_fighter_nc_dq,f_1_fighter_SlpM,f_1_fighter_Str_Acc,f_1_fighter_SApM,f_1_fighter_Str_Def,f_1_fighter_TD_Avg,f_1_fighter_TD_Acc,f_1_fighter_TD_Def,f_1_fighter_Sub_Avg,f_1_fighter_url,f_2_fighter_f_name,f_2_fighter_l_name,f_2_fighter_height_cm,f_2_fighter_weight_lbs,f_2_fighter_reach_cm,f_2_fighter_stance,f_2_fighter_dob,f_2_fighter_w,f_2_fighter_l,f_2_fighter_d,f_2_fighter_nc_dq,f_2_fighter_SlpM,f_2_fighter_Str_Acc,f_2_fighter_SApM,f_2_fighter_Str_Def,f_2_fighter_TD_Avg,f_2_fighter_TD_Acc,f_2_fighter_TD_Def,f_2_fighter_Sub_Avg,f_2_fighter_url,f_1_ranking,f_2_ranking,total_fights_f1,total_fights_f2,win_ratio_f1,win_ratio_f2,win_ratio_diff,experience_diff,slpm_diff,str_acc_diff,sapm_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,reach_diff,height_diff,weight_diff,age_f1,age_f2,age_diff,target
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Salahdine Parnasse,5.0,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,2:35,http://ufcstats.com/fight-details/bba8c0ab999b9e6f,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Salahdine Parnasse,Dan Hooker,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Salahdine,Parnasse,177.8,155.0,180.34,Southpaw,1997-12-04,24,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/b3cb9dfccff3be76,Dan,Hooker,182.88,155.0,190.5,Switch,1990-02-13,24,15,0,0.0,4.82,0.48,4.94,0.49,0.68,0.33,0.77,0.6,http://ufcstats.com/fighter-details/193b9d1858bc4df3,Unranked,Unranked,26,39,0.9230769230769231,0.6153846153846154,0.3076923076923077,-13,-4.82,-0.48,-4.94,-0.49,-0.68,-0.33,-0.77,-0.6,-10.159999999999997,-5.079999999999984,0.0,28.752908966461327,36.558521560574945,-7.805612594113619,1
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Axel Sola,3.0,False,Lightweight,M,KO/TKO,Punch to Head At Distance,1,1:40,http://ufcstats.com/fight-details/55f698e5c4ed2c47,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Fares Ziam,Axel Sola,http://ufcstats.com/fighter-details/1e4f273069fb9e85,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,Fares,Ziam,185.42,155.0,190.5,Orthodox,1997-03-21,18,6,0,0.0,2.68,0.52,1.58,0.63,1.86,0.42,0.7,0.5,http://ufcstats.com/fighter-details/1e4f273069fb9e85,Axel,Sola,182.88,155.0,187.96,Southpaw,1997-09-17,13,1,1,0.0,4.5,0.5,4.53,0.61,1.89,0.36,0.66,0.5,http://ufcstats.com/fighter-details/1d2d98ddd05b38fb,Unranked,Unranked,24,15,0.75,0.8666666666666667,-0.1166666666666667,9,-1.8199999999999998,0.020000000000000018,-2.95,0.020000000000000018,-0.029999999999999805,0.06,0.039999999999999925,0.0,2.539999999999992,2.539999999999992,0.0,29.45927446954141,28.966461327857633,0.49281314168377577,0
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Michael Page,3.0,False,Middleweight,M,Decision - Unanimous,Ben Cartlidge 28 - 29. Anders Ohlsson 28 - 29. Clemens Werner 28 - 29.,3,5:00,http://ufcstats.com/fight-details/c23197c7e4f2fd9d,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Michael Page,Nursulton Ruziboev,http://ufcstats.com/fighter-details/a67d071163962af8,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Michael,Page,190.5,185.0,200.66,Switch,1987-04-07,26,3,0,0.0,2.28,0.58,1.51,0.62,0.19,0.16,0.7,0.0,http://ufcstats.com/fighter-details/a67d071163962af8,Nursulton,Ruziboev,195.58,185.0,193.04,Orthodox,1993-11-19,37,10,2,2.0,2.38,0.46,2.68,0.49,1.36,0.8,0.33,0.3,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Unranked,Unranked,29,49,0.896551724137931,0.7551020408163265,0.14144968332160457,-20,-0.10000000000000009,0.11999999999999994,-1.1700000000000002,0.13,-1.1700000000000002,-0.64,0.36999999999999994,-0.3,7.6200000000000045,-5.0800000000000125,0.0,39.41409993155373,32.79397672826831,6.6201232032854165,1
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Daniil Donchenko,3.0,False,Welterweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. David Lethaby 27 - 30. Eric Colon 28 - 29.,3,5:00,http://ufcstats.com/fight-details/8300a095a4908ab1,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Daniil Donchenko,Punahele Soriano,http://ufcstats.com/fighter-details/70dd69b6a703257e,http://ufcstats.com/fighter-details/64facb6cc564262d,Daniil,Donchenko,180.34,170.0,180.34,Orthodox,2001-08-04,16,2,0,0.0,8.07,0.62,2.8,0.7,0.58,0.33,0.75,0.0,http://ufcstats.com/fighter-details/70dd69b6a703257e,Punahele,Soriano,180.34,170.0,182.88,Southpaw,1992-11-22,13,5,0,0.0,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1,http://ufcstats.com/fighter-details/64facb6cc564262d,Unranked,Unranked,18,18,0.8888888888888888,0.7222222222222222,0.16666666666666663,0,3.6500000000000004,0.08999999999999997,-0.5100000000000002,0.22999999999999998,-1.3900000000000001,-0.18,0.27,-0.1,-2.539999999999992,0.0,0.0,25.086926762491444,33.78507871321013,-8.698151950718689,1
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Kurtis Campbell,3.0,False,Featherweight,M,Submission,Rear Naked Choke,3,3:07,http://ufcstats.com/fight-details/cbf9063d23513661,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Trevor Peek,Kurtis Campbell,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,Trevor,Peek,175.26,145.0,177.8,Switch,1995-01-09,9,4,0,1.0,4.39,0.53,3.88,0.43,1.45,0.5,0.52,0.0,http://ufcstats.com/fighter-details/0bc697c5936a2d0a,Kurtis,Campbell,175.26,145.0,182.88,Switch,2002-07-29,9,1,0,0.0,3.5,0.48,2.63,0.51,8.76,0.4,0.5,0.0,http://ufcstats.com/fighter-details/9d51798e61f2e0c7,Unranked,Unranked,13,10,0.6923076923076923,0.9,-0.20769230769230773,3,0.8899999999999997,0.050000000000000044,1.25,-0.08000000000000002,-7.31,0.09999999999999998,0.020000000000000018,0.0,-5.079999999999984,0.0,0.0,31.655030800821354,24.10403832991102,7.550992470910334,0
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Losene Keita,3.0,False,Featherweight,M,KO/TKO,Punch to Head At Distance,1,2:54,http://ufcstats.com/fight-details/b90b099c1f47bb93,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Losene Keita,Muhammad Naimov,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Losene,Keita,170.18,145.0,182.88,Orthodox,1997-12-30,17,2,0,0.0,3.47,0.43,4.47,0.62,0.0,0.0,1.0,0.0,http://ufcstats.com/fighter-details/5b43d68174b6e2ab,Muhammad,Naimov,175.26,145.0,177.8,Orthodox,1994-08-07,13,5,0,0.0,2.51,0.4,3.35,0.44,1.49,0.3,0.68,0.2,http://ufcstats.com/fighter-details/8d11d9c13e2ccdf7,Unranked,Unranked,19,18,0.8947368421052632,0.7222222222222222,0.17251461988304095,1,0.9600000000000004,0.02999999999999997,1.1199999999999997,0.18,-1.49,-0.3,0.31999999999999995,-0.2,5.079999999999984,-5.079999999999984,0.0,28.681724845995895,32.07939767282683,-3.3976728268309344,1
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Felipe Lima,3.0,False,Featherweight,M,Decision - Unanimous,Ben Cartlidge 27 - 30. Clemens Werner 27 - 30. Anders Ohlsson 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ad17c34e0cc7d702,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Felipe Lima,Morgan Charriere,http://ufcstats.com/fighter-details/9256f591b30c073e,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Felipe,Lima,167.64,145.0,172.72,Orthodox,1998-05-07,15,2,0,0.0,2.86,0.45,2.91,0.64,2.18,0.27,0.85,0.7,http://ufcstats.com/fighter-details/9256f591b30c073e,Morgan,Charriere,172.72,145.0,175.26,Orthodox,1995-10-26,21,13,1,0.0,4.02,0.5,4.51,0.53,2.06,0.46,0.83,0.3,http://ufcstats.com/fighter-details/5b03b61f9d90125e,Unranked,Unranked,17,35,0.8823529411764706,0.6,0.2823529411764706,-18,-1.1599999999999997,-0.04999999999999999,-1.5999999999999996,0.10999999999999999,0.1200000000000001,-0.19,0.020000000000000018,0.39999999999999997,-2.539999999999992,-5.0800000000000125,0.0,28.331279945242983,30.861054072553046,-2.5297741273100627,1
UFC Fight Night: Hooker vs. Parnasse,Marc Goddard,Mario Pinto,3.0,False,Heavyweight,M,KO/TKO,Punches to Head On Ground,2,0:55,http://ufcstats.com/fight-details/b1c6ea7d7d413bd5,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Mario Pinto,Ryan Spann,http://ufcstats.com/fighter-details/39d309957c5c210d,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Mario,Pinto,195.58,265.0,200.66,Orthodox,1998-03-14,13,0,0,0.0,2.85,0.69,1.93,0.58,2.38,0.26,1.0,0.9,http://ufcstats.com/fighter-details/39d309957c5c210d,Ryan,Spann,195.58,264.0,200.66,Orthodox,1991-08-24,24,12,0,0.0,3.11,0.39,3.92,0.43,1.21,0.34,0.59,1.7,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,Unranked,Unranked,13,36,1.0,0.6666666666666666,0.33333333333333337,-23,-0.2599999999999998,0.29999999999999993,-1.99,0.14999999999999997,1.17,-0.08000000000000002,0.41000000000000003,-0.7999999999999999,0.0,0.0,1.0,28.479123887748116,35.03353867214237,-6.554414784394254,1
UFC Fight Night: Hooker vs. Parnasse,Jason Herzog,Modestas Bukauskas,3.0,False,Light Heavyweight,M,KO/TKO,Knee to Head In Clinch,2,3:57,http://ufcstats.com/fight-details/94d411112ebe8fad,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Oumar Sy,Modestas Bukauskas,http://ufcstats.com/fighter-details/46e2011d92463b7e,http://ufcstats.com/fighter-details/476fe566d2df676e,Oumar,Sy,193.04,205.0,210.82,Orthodox,1995-11-21,12,3,0,0.0,3.41,0.48,1.87,0.66,2.45,0.35,0.66,0.3,http://ufcstats.com/fighter-details/46e2011d92463b7e,Modestas,Bukauskas,190.5,205.0,193.04,Switch,1994-02-10,21,7,0,0.0,3.14,0.43,3.86,0.5,0.23,0.66,0.82,0.1,http://ufcstats.com/fighter-details/476fe566d2df676e,Unranked,Unranked,15,28,0.8,0.75,0.050000000000000044,-13,0.27,0.04999999999999999,-1.9899999999999998,0.16000000000000003,2.22,-0.31000000000000005,-0.15999999999999992,0.19999999999999998,17.78,2.539999999999992,0.0,30.78986995208761,32.56673511293634,-1.7768651608487325,0
UFC Fight Night: Hooker vs. Parnasse,Herb Dean,Pavel Andrusca,3.0,False,Featherweight,M,Decision - Unanimous,Ludovic Dandine 27 - 30. Clemens Werner 27 - 30. Ben Cartlidge 28 - 29.,3,5:00,http://ufcstats.com/fight-details/ac3af13ffe39b1d8,2026-09-05,http://ufcstats.com/event-details/2144954270be834d,Nathaniel Wood,Pavel Andrusca,http://ufcstats.com/fighter-details/329e403448756217,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,Nathaniel,Wood,167.64,145.0,175.26,Orthodox,1993-05-08,23,7,0,0.0,5.64,0.51,4.25,0.54,1.35,0.48,0.73,0.5,http://ufcstats.com/fighter-details/329e403448756217,Pavel,Andrusca,170.18,145.0,167.64,Orthodox,2002-05-08,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/93f9c19ae41d2a97,Unranked,Unranked,30,9,0.7666666666666667,1.0,-0.23333333333333328,21,5.64,0.51,4.25,0.54,1.35,0.48,0.73,0.5,7.6200000000000045,-2.5400000000000205,0.0,33.327857631759066,24.32854209445585,8.999315537303215,0
